invoice_id,month,segment,amount,discount_pct,days_to_pay
INV-5155,2025-05,Mid-market,14917.85,14.7,83
INV-5156,2026-01,Mid-market,9850.89,6.8,26
INV-5157,2025-11,Mid-market,8169.96,6.6,35
INV-5158,2025-10,Mid-market,14212.95,8.8,14
INV-5159,2025-05,Mid-market,5813.85,13.5,30
INV-5160,2025-10,Mid-market,10125.13,13.9,34
INV-5161,2025-12,Mid-market,6833.57,13.1,30
INV-5162,2025-04,Mid-market,12602.0,12.1,36
INV-5163,2025-12,Mid-market,5232.11,13.6,34
INV-5164,2025-12,Mid-market,10770.58,14.5,51
INV-5165,2026-03,Mid-market,6583.35,6.3,43
INV-5166,2025-10,Mid-market,15011.78,17.3,27
INV-5167,2025-05,Mid-market,7712.89,12.2,25
INV-5168,2025-07,Mid-market,16121.03,7.6,23
INV-5169,2025-05,Mid-market,14425.8,8.3,32
INV-5170,2025-06,Mid-market,10421.56,9.1,23
INV-5171,2025-08,Mid-market,18365.04,4.3,27
INV-5172,2025-06,Mid-market,5888.19,11.6,21
INV-5173,2026-01,Mid-market,4419.48,11.9,40
INV-5174,2025-04,Mid-market,10884.41,16.7,36
INV-5175,2026-01,Mid-market,23070.01,4.6,93
INV-5176,2025-12,Mid-market,16041.21,12.7,32
INV-5177,2025-12,Mid-market,3883.47,6.9,52
INV-5178,2025-06,Mid-market,11880.1,4.5,45
INV-5179,2025-07,Mid-market,7314.32,9.6,33
INV-5180,2025-06,Mid-market,14759.21,5.7,13
INV-5181,2025-11,Mid-market,11528.56,2.9,41
INV-5182,2026-03,Mid-market,4818.26,13.7,37
INV-5183,2025-05,Mid-market,10225.09,9.6,33
INV-5184,2025-10,Mid-market,10866.35,6.3,24
INV-5185,2025-06,Mid-market,5885.3,11.8,30
INV-5186,2026-02,Mid-market,11685.65,8.8,14
INV-5187,2025-09,Mid-market,10447.29,7.7,14
INV-5188,2025-11,Mid-market,7482.25,12.5,17
INV-5189,2025-12,Mid-market,7455.4,7.5,32
INV-5190,2025-04,Mid-market,5515.44,10.8,23
INV-5191,2025-12,Mid-market,8035.61,2.2,41
INV-5192,2025-06,Mid-market,4722.71,11.0,28
INV-5193,2025-06,Mid-market,15160.61,11.4,19
INV-5194,2025-12,Mid-market,5991.91,8.3,32
INV-5195,2025-05,Mid-market,7970.44,11.5,23
INV-5196,2025-08,Mid-market,16201.05,12.9,30
INV-5197,2025-08,Mid-market,9414.15,13.3,31
INV-5198,2025-09,Mid-market,11276.57,13.7,33
INV-5199,2026-02,Mid-market,22452.22,16.4,36
INV-5200,2025-12,Mid-market,13726.72,10.1,20
INV-5201,2025-07,Mid-market,17639.23,13.6,18
INV-5202,2026-03,Mid-market,8743.49,11.0,27
INV-5203,2025-06,Mid-market,8274.19,7.4,39
INV-5204,2025-09,Mid-market,11574.09,15.9,39
INV-5205,2025-11,Mid-market,7666.21,11.0,31
INV-5206,2025-12,Mid-market,20855.98,9.4,29
INV-5207,2025-12,Mid-market,10582.66,9.5,38
INV-5208,2025-11,Mid-market,11556.81,6.5,32
INV-5209,2025-06,Mid-market,17669.63,9.1,28
INV-5210,2026-02,Mid-market,10028.79,17.6,37
INV-5211,2025-12,Mid-market,7706.31,8.3,43
INV-5212,2025-12,Mid-market,9989.04,14.6,51
INV-5213,2026-01,Mid-market,9624.24,16.4,29
INV-5214,2025-10,Mid-market,5300.46,15.1,34
INV-5215,2025-06,Mid-market,11546.87,16.9,44
INV-5216,2025-10,Mid-market,5034.16,11.0,21
INV-5217,2025-10,Mid-market,18114.88,13.0,29
INV-5218,2026-01,Mid-market,27304.51,10.0,46
INV-5219,2025-12,Mid-market,23830.01,9.3,44
INV-5220,2026-01,Mid-market,6898.17,11.4,40
INV-5221,2025-09,Mid-market,7371.39,10.4,96
INV-5222,2025-10,Mid-market,10877.21,4.7,37
INV-5223,2025-08,Mid-market,6058.13,9.7,34
INV-5224,2025-05,Mid-market,6395.0,14.0,29
INV-5225,2026-02,Mid-market,5416.08,10.6,71
INV-5226,2025-05,Mid-market,9461.53,7.2,50
INV-5227,2025-05,Mid-market,16190.51,6.7,23
INV-5228,2025-11,Mid-market,13333.55,7.2,20
INV-5229,2025-06,Mid-market,9902.86,12.9,25
INV-5230,2025-05,Mid-market,8823.41,17.3,35
INV-5231,2025-10,Mid-market,2630.18,11.2,53
INV-5232,2025-08,Mid-market,20858.43,16.4,24
INV-5233,2025-06,Mid-market,9682.14,11.4,30
INV-5234,2025-11,Mid-market,4854.21,5.8,80
INV-5235,2026-03,Mid-market,7289.84,14.3,20
INV-5236,2025-09,Mid-market,7357.8,13.3,21
INV-5237,2025-09,Mid-market,21104.23,13.3,35
INV-5238,2026-02,Mid-market,6023.94,6.6,36
INV-5239,2025-04,Mid-market,16183.54,6.5,27
INV-5240,2025-10,Mid-market,6824.7,16.9,32
INV-5241,2025-07,Mid-market,6898.99,9.4,28
INV-5242,2025-04,Mid-market,7255.53,13.3,37
INV-5243,2025-10,Mid-market,6945.78,13.3,41
INV-5244,2026-01,Mid-market,7497.16,9.2,46
INV-5245,2025-04,Mid-market,10810.3,9.0,39
INV-5246,2025-08,Mid-market,7881.99,14.1,18
INV-5247,2025-07,Mid-market,11142.47,9.6,29
INV-5248,2026-01,Mid-market,6333.96,13.9,32
INV-5249,2025-04,Mid-market,8555.58,9.8,24
INV-5250,2025-05,Mid-market,7566.31,14.6,24
INV-5251,2025-09,Enterprise,37389.49,27.5,36
INV-5252,2025-06,Enterprise,60410.87,15.9,50
INV-5253,2025-04,Enterprise,24607.74,18.5,37
INV-5254,2025-10,Enterprise,42034.26,25.4,61
INV-5255,2025-07,Enterprise,25660.45,15.3,35
INV-5256,2025-06,Enterprise,43787.0,17.1,39
INV-5257,2025-10,Enterprise,34105.52,15.7,51
INV-5258,2025-12,Enterprise,55150.39,30.4,49
INV-5259,2025-05,Enterprise,55098.95,14.7,46
INV-5260,2026-03,Enterprise,22254.01,29.8,60
INV-5261,2025-07,Enterprise,48188.13,22.3,41
INV-5262,2025-08,Enterprise,16391.88,21.1,102
INV-5263,2026-02,Enterprise,28098.39,20.9,35
INV-5264,2025-12,Enterprise,58422.83,25.4,56
INV-5265,2025-04,Enterprise,85871.39,24.2,35
INV-5266,2025-09,Enterprise,27125.74,21.0,44
INV-5267,2025-05,Enterprise,23164.43,15.4,21
INV-5268,2025-06,Enterprise,52886.76,20.2,43
INV-5269,2025-07,Enterprise,18996.09,14.4,50
INV-5270,2026-03,Enterprise,116730.55,18.3,32
INV-5271,2025-12,Enterprise,22244.6,28.8,59
INV-5272,2025-08,Enterprise,23234.15,24.6,45
INV-5273,2025-05,Enterprise,158026.36,20.6,57
INV-5274,2025-10,Enterprise,21332.45,31.8,57
INV-5275,2025-07,Enterprise,37814.63,17.5,68
INV-5276,2025-11,Enterprise,40972.99,26.7,49
INV-5277,2025-11,Enterprise,72580.85,13.7,63
INV-5278,2025-04,Enterprise,59902.92,19.2,45
INV-5279,2025-06,Enterprise,15947.86,22.8,38
INV-5280,2025-12,Enterprise,32461.71,19.8,34
INV-5281,2026-02,Enterprise,27696.86,20.6,40
INV-5282,2025-11,Enterprise,18728.52,21.7,60
INV-5283,2025-10,Enterprise,29221.18,31.2,42
INV-5284,2025-04,Enterprise,23725.64,26.5,58
INV-5285,2025-08,Enterprise,69281.14,26.8,54
INV-5286,2025-06,Enterprise,45610.98,22.3,59
INV-5287,2025-12,Enterprise,34867.37,16.1,61
INV-5288,2025-12,Enterprise,41409.44,20.6,52
INV-5289,2026-01,Enterprise,109954.46,19.1,16
INV-5290,2026-02,Enterprise,47341.11,22.7,67
INV-5291,2025-07,Enterprise,127360.09,15.6,45
INV-5292,2025-09,Enterprise,41388.14,30.4,54
INV-5293,2026-02,Enterprise,51469.62,17.5,62
INV-5294,2025-09,Enterprise,45924.76,36.2,61
INV-5295,2025-08,Enterprise,36498.67,17.5,45
INV-5296,2026-03,Enterprise,86082.11,16.1,45
INV-5297,2026-01,Enterprise,29304.63,23.5,44
INV-5298,2025-11,Enterprise,17506.33,27.1,59
INV-5299,2025-04,Enterprise,74093.23,26.2,40
INV-5300,2026-01,Enterprise,62887.74,27.5,67
