account_id,plan,sessions,avg_session_minutes
A1227,Team,54,20.1
A1228,Team,56,16.3
A1229,Team,104,27.9
A1230,Team,33,21.7
A1231,Team,62,21.7
A1232,Team,56,23.6
A1233,Team,22,27.4
A1234,Team,20,29.6
A1235,Team,82,14.9
A1236,Team,66,16.2
A1237,Team,98,15.4
A1238,Team,127,17.9
A1239,Team,43,18.4
A1240,Team,38,21.3
