run_id,started_at,agent,model,trigger,outcome,error,duration_s,tool_calls,input_tokens,output_tokens,cost_usd
run_00030,2026-08-10 16:57,Invoice Parser,clank-mini,API,succeeded,,23.3,2,3496,464,0.04141
run_00031,2026-08-10 12:39,Invoice Parser,clank-mini,Slack,succeeded,,16.8,1,2260,323,0.03421
run_00032,2026-08-10 16:43,Invoice Parser,clank-mini,API,succeeded,,13.6,2,2769,635,0.04124
run_00033,2026-08-10 16:28,Invoice Parser,clank-mini,Schedule,succeeded,,24.9,1,2806,818,0.04431
run_00034,2026-08-10 15:01,Code Reviewer,clank-pro,Webhook,succeeded,,139.0,9,24732,5531,1.42568
run_00035,2026-08-10 13:41,Code Reviewer,clank-ultra,Slack,escalated,,31.4,7,7151,1456,1.577
run_00036,2026-08-10 07:42,Code Reviewer,clank-pro,Schedule,succeeded,,135.3,8,23094,6479,1.4903
run_00037,2026-08-10 18:30,Code Reviewer,clank-pro,Slack,succeeded,,43.8,5,7433,1212,0.38843
run_00038,2026-08-10 15:57,Code Reviewer,clank-pro,API,succeeded,,158.2,9,18550,3587,1.00694
run_00039,2026-08-10 19:24,Code Reviewer,clank-ultra,Schedule,succeeded,,59.7,9,12543,3658,3.281
run_00040,2026-08-10 09:31,Code Reviewer,clank-pro,API,succeeded,,87.0,7,13471,1926,0.65525
run_00041,2026-08-10 10:05,Lead Enricher,clank-pro,API,succeeded,,18.9,5,4703,885,0.26729
run_00042,2026-08-10 17:16,Lead Enricher,clank-pro,Schedule,succeeded,,26.3,5,4420,727,0.23984
run_00043,2026-08-10 10:15,Lead Enricher,clank-mini,Schedule,succeeded,,16.0,5,4119,1049,0.05326
run_00044,2026-08-10 05:19,Lead Enricher,clank-mini,API,succeeded,,24.9,4,3977,972,0.05146
run_00045,2026-08-10 10:43,Lead Enricher,clank-pro,API,failed,Invalid output,26.8,4,4713,995,0.28079
run_00046,2026-08-10 15:23,Lead Enricher,clank-pro,Slack,succeeded,,27.4,4,5913,997,0.31703
run_00047,2026-08-10 11:37,Lead Enricher,clank-mini,Slack,succeeded,,22.8,6,5427,1021,0.05804
run_00048,2026-08-10 10:11,Lead Enricher,clank-mini,API,succeeded,,21.7,7,5532,854,0.05579
run_00049,2026-08-10 13:31,Lead Enricher,clank-pro,API,succeeded,,44.4,6,7651,1253,0.39989
run_00050,2026-08-10 15:30,Lead Enricher,clank-pro,API,failed,Rate limited,26.8,5,5760,1018,0.31496
run_00051,2026-08-10 12:17,On-call Summarizer,clank-ultra,Webhook,succeeded,,51.5,14,10931,1759,2.17604
run_00052,2026-08-10 10:02,On-call Summarizer,clank-ultra,Schedule,succeeded,,58.7,7,10437,2134,2.29676
run_00053,2026-08-10 12:55,On-call Summarizer,clank-ultra,Slack,succeeded,,25.5,8,5593,821,1.08524
run_00054,2026-08-10 16:35,On-call Summarizer,clank-ultra,Schedule,succeeded,,39.8,10,8836,1764,1.92704
run_00055,2026-08-11 05:39,Support Triage,clank-pro,API,succeeded,,16.0,4,3655,542,0.19469
run_00056,2026-08-11 16:18,Support Triage,clank-mini,API,succeeded,,10.6,3,2748,428,0.03784
run_00057,2026-08-11 07:41,Support Triage,clank-mini,API,succeeded,,21.3,2,4083,813,0.04934
run_00058,2026-08-11 13:32,Support Triage,clank-mini,API,succeeded,,15.2,1,2012,486,0.03582
run_00059,2026-08-11 14:17,Support Triage,clank-mini,Slack,succeeded,,14.4,3,2773,830,0.04437
run_00060,2026-08-11 17:26,Support Triage,clank-mini,Schedule,succeeded,,9.1,3,2204,639,0.03904
run_00061,2026-08-11 09:20,Support Triage,clank-mini,Slack,succeeded,,23.8,3,3431,732,0.04544
run_00062,2026-08-11 12:13,Support Triage,clank-mini,API,succeeded,,24.8,2,3079,719,0.04382
run_00063,2026-08-11 10:26,Support Triage,clank-mini,Webhook,succeeded,,13.5,3,3207,673,0.0436
run_00064,2026-08-11 13:30,Support Triage,clank-mini,Schedule,succeeded,,27.1,4,5714,1574,0.06804
run_00065,2026-08-11 13:17,Support Triage,clank-pro,API,succeeded,,13.9,5,3771,687,0.21557
run_00066,2026-08-11 13:12,Support Triage,clank-pro,API,succeeded,,22.3,3,3706,760,0.22238
run_00067,2026-08-11 13:52,Support Triage,clank-mini,API,escalated,,12.1,4,3408,470,0.04115
run_00068,2026-08-11 10:41,Support Triage,clank-pro,API,succeeded,,8.7,2,1819,245,0.10397
run_00069,2026-08-11 18:56,Support Triage,clank-mini,Slack,succeeded,,19.6,3,3099,725,0.044
run_00070,2026-08-11 16:01,Support Triage,clank-mini,Slack,succeeded,,12.5,4,3190,708,0.04409
run_00071,2026-08-11 12:24,Support Triage,clank-mini,API,succeeded,,8.4,4,2505,416,0.03668
run_00072,2026-08-11 14:57,Support Triage,clank-mini,Schedule,succeeded,,18.3,2,3547,494,0.04209
run_00073,2026-08-11 23:36,Support Triage,clank-mini,Schedule,succeeded,,21.3,5,5084,1501,0.06435
run_00074,2026-08-11 15:53,Support Triage,clank-pro,API,succeeded,,15.9,2,2986,746,0.1991
run_00075,2026-08-11 08:40,Support Triage,clank-mini,Schedule,succeeded,,12.4,4,3079,481,0.04001
run_00076,2026-08-11 14:33,Support Triage,clank-mini,API,succeeded,,23.4,4,4468,597,0.04742
run_00077,2026-08-11 08:55,Support Triage,clank-mini,Schedule,succeeded,,25.6,4,4376,622,0.04746
run_00078,2026-08-11 16:37,Support Triage,clank-mini,Schedule,succeeded,,18.1,1,2442,561,0.03874
run_00079,2026-08-11 11:58,Support Triage,clank-mini,Schedule,succeeded,,9.0,2,2207,542,0.0375
run_00080,2026-08-11 12:56,Support Triage,clank-mini,API,succeeded,,3.2,4,1992,580,0.03725
run_00081,2026-08-11 11:43,Support Triage,clank-mini,Webhook,succeeded,,8.8,6,3694,504,0.04284
run_00082,2026-08-11 09:03,Support Triage,clank-mini,API,succeeded,,14.8,3,2753,761,0.04319
run_00083,2026-08-11 09:50,Support Triage,clank-pro,API,succeeded,,10.2,3,2592,323,0.13652
run_00084,2026-08-11 07:37,Invoice Parser,clank-mini,API,succeeded,,31.1,2,5298,1125,0.05919
run_00085,2026-08-11 16:14,Invoice Parser,clank-mini,API,succeeded,,38.0,1,5033,1477,0.06376
run_00086,2026-08-11 15:54,Invoice Parser,clank-mini,Schedule,succeeded,,9.2,3,2435,533,0.03827
run_00087,2026-08-11 16:29,Invoice Parser,clank-mini,API,succeeded,,8.9,3,2535,500,0.03814
run_00088,2026-08-11 13:21,Invoice Parser,clank-mini,API,succeeded,,17.0,2,3149,647,0.04295
run_00089,2026-08-11 02:05,Invoice Parser,clank-mini,Slack,succeeded,,46.9,4,8025,1556,0.077
run_00090,2026-08-11 17:18,Invoice Parser,clank-mini,API,succeeded,,11.0,1,1563,218,0.02974
run_00091,2026-08-11 16:14,Invoice Parser,clank-mini,Slack,failed,Invalid output,26.8,2,3265,938,0.04807
run_00092,2026-08-11 17:48,Invoice Parser,clank-mini,API,succeeded,,40.6,2,5589,813,0.05536
run_00093,2026-08-11 13:24,Invoice Parser,clank-mini,API,succeeded,,45.2,2,6664,902,0.06109
run_00094,2026-08-11 05:48,Invoice Parser,clank-mini,Schedule,succeeded,,26.8,1,4225,594,0.0464
run_00095,2026-08-11 16:43,Invoice Parser,clank-mini,Schedule,succeeded,,11.8,2,2106,333,0.03375
run_00096,2026-08-11 15:18,Invoice Parser,clank-mini,API,succeeded,,14.0,2,2880,764,0.04374
run_00097,2026-08-11 23:02,Invoice Parser,clank-mini,Schedule,succeeded,,16.3,1,2329,548,0.03808
run_00098,2026-08-11 17:51,Invoice Parser,clank-mini,Schedule,succeeded,,17.4,2,2493,495,0.03789
run_00099,2026-08-11 16:14,Code Reviewer,clank-pro,API,succeeded,,51.7,9,10888,2912,0.69608
run_00100,2026-08-11 09:06,Code Reviewer,clank-pro,API,succeeded,,170.2,9,24806,6345,1.52558
run_00101,2026-08-11 18:43,Code Reviewer,clank-ultra,Schedule,succeeded,,192.9,6,20680,4128,4.48304
run_00102,2026-08-11 14:37,Code Reviewer,clank-pro,Schedule,succeeded,,91.3,7,16545,4533,1.06031
run_00103,2026-08-11 14:29,Code Reviewer,clank-pro,Webhook,succeeded,,101.7,5,17971,3614,0.99281
run_00104,2026-08-11 13:45,Code Reviewer,clank-pro,Schedule,succeeded,,99.6,3,12869,3338,0.80663
run_00105,2026-08-11 14:50,Code Reviewer,clank-ultra,API,succeeded,,102.2,7,18896,4317,4.35968
run_00106,2026-08-11 15:37,Code Reviewer,clank-ultra,Webhook,succeeded,,135.7,10,17018,3754,3.86408
run_00107,2026-08-11 16:53,Lead Enricher,clank-pro,Webhook,failed,Tool timeout,43.1,3,5137,902,0.28235
run_00108,2026-08-11 17:14,Lead Enricher,clank-pro,API,succeeded,,51.8,4,8225,2081,0.51647
run_00109,2026-08-11 17:38,Lead Enricher,clank-mini,API,succeeded,,98.7,3,11231,2233,0.10065
run_00110,2026-08-11 13:48,Lead Enricher,clank-pro,API,succeeded,,15.3,5,3879,1049,0.26225
run_00111,2026-08-11 13:24,Lead Enricher,clank-pro,API,succeeded,,18.4,5,4774,618,0.23738
run_00112,2026-08-11 14:54,Lead Enricher,clank-pro,API,succeeded,,20.5,5,4581,1235,0.30563
run_00113,2026-08-11 07:52,Lead Enricher,clank-mini,API,succeeded,,16.5,6,4319,540,0.04592
run_00114,2026-08-11 22:50,Lead Enricher,clank-mini,API,failed,Rate limited,95.2,3,15811,1951,0.11446
run_00115,2026-08-11 11:35,Lead Enricher,clank-pro,Schedule,succeeded,,43.6,6,8281,1922,0.49907
run_00116,2026-08-11 15:38,Lead Enricher,clank-pro,Schedule,succeeded,,41.9,6,6173,1133,0.34115
run_00117,2026-08-11 10:23,Lead Enricher,clank-mini,Schedule,succeeded,,28.1,4,5384,1597,0.06709
run_00118,2026-08-11 10:15,Lead Enricher,clank-pro,Schedule,succeeded,,43.3,6,6433,1404,0.38147
run_00119,2026-08-11 14:44,On-call Summarizer,clank-ultra,API,succeeded,,50.4,4,7811,989,1.43204
run_00120,2026-08-11 17:22,On-call Summarizer,clank-ultra,API,succeeded,,25.9,6,5529,1615,1.45868
run_00121,2026-08-11 11:31,On-call Summarizer,clank-ultra,API,succeeded,,50.9,6,10534,1606,2.05496
run_00122,2026-08-11 12:05,On-call Summarizer,clank-ultra,API,succeeded,,75.9,6,13086,3718,3.37496
run_00123,2026-08-12 14:03,Support Triage,clank-mini,Schedule,succeeded,,28.9,6,6930,1010,0.06388
run_00124,2026-08-12 16:49,Support Triage,clank-mini,API,escalated,,13.2,3,2794,374,0.03716
run_00125,2026-08-12 12:15,Support Triage,clank-pro,API,succeeded,,16.4,4,3212,833,0.21632
run_00126,2026-08-12 12:58,Support Triage,clank-pro,API,succeeded,,20.1,3,3413,594,0.19367
run_00127,2026-08-12 11:07,Support Triage,clank-pro,Slack,succeeded,,13.9,2,2608,532,0.16208
run_00128,2026-08-12 10:19,Support Triage,clank-mini,Slack,succeeded,,12.5,3,2823,402,0.03772
run_00129,2026-08-12 07:22,Support Triage,clank-mini,Slack,succeeded,,18.7,3,3056,643,0.04251
run_00130,2026-08-12 09:10,Support Triage,clank-mini,Slack,succeeded,,20.0,3,3888,852,0.04918
run_00131,2026-08-12 14:41,Support Triage,clank-mini,Webhook,succeeded,,21.7,3,4073,1106,0.05399
run_00132,2026-08-12 15:49,Support Triage,clank-mini,Schedule,succeeded,,11.7,4,3062,713,0.04366
run_00133,2026-08-12 11:43,Support Triage,clank-mini,Schedule,succeeded,,8.9,3,2292,415,0.03581
run_00134,2026-08-12 15:25,Support Triage,clank-mini,API,succeeded,,10.8,1,1572,259,0.03043
run_00135,2026-08-12 09:24,Support Triage,clank-pro,API,escalated,,10.5,4,3196,670,0.19628
run_00136,2026-08-12 12:32,Support Triage,clank-mini,API,succeeded,,8.6,3,2336,635,0.0395
run_00137,2026-08-12 11:27,Support Triage,clank-mini,API,succeeded,,12.9,3,2412,533,0.03818
run_00138,2026-08-12 17:48,Support Triage,clank-mini,Slack,succeeded,,15.4,4,3095,579,0.04164
run_00139,2026-08-12 15:32,Support Triage,clank-mini,API,succeeded,,32.5,2,4902,720,0.05113
run_00140,2026-08-12 09:10,Support Triage,clank-mini,Schedule,succeeded,,16.2,4,3638,757,0.04666
run_00141,2026-08-12 16:43,Support Triage,clank-mini,API,succeeded,,17.9,2,2747,654,0.04145
run_00142,2026-08-12 10:10,Support Triage,clank-mini,Slack,succeeded,,8.3,2,1691,377,0.0328
run_00143,2026-08-12 12:09,Support Triage,clank-mini,API,succeeded,,16.5,3,3661,919,0.04935
run_00144,2026-08-12 03:30,Support Triage,clank-mini,API,succeeded,,22.7,2,3407,882,0.04774
run_00145,2026-08-12 14:15,Support Triage,clank-mini,API,escalated,,23.3,3,4098,846,0.04993
run_00146,2026-08-12 14:34,Support Triage,clank-mini,Webhook,succeeded,,11.2,4,3162,577,0.04188
run_00147,2026-08-12 11:52,Invoice Parser,clank-mini,Webhook,succeeded,,10.1,2,2187,471,0.03628
run_00148,2026-08-12 10:06,Invoice Parser,clank-mini,Slack,succeeded,,36.3,1,5904,1216,0.06307
run_00149,2026-08-12 18:20,Invoice Parser,clank-mini,API,succeeded,,24.5,2,3067,877,0.0463
run_00150,2026-08-12 06:59,Invoice Parser,clank-mini,Webhook,succeeded,,19.9,4,4605,560,0.04738
run_00151,2026-08-12 09:59,Invoice Parser,clank-mini,API,failed,Rate limited,19.5,2,2813,395,0.03757
run_00152,2026-08-12 13:41,Invoice Parser,clank-mini,API,succeeded,,35.3,2,6092,1715,0.07181
run_00153,2026-08-12 14:05,Invoice Parser,clank-mini,API,failed,Rate limited,17.9,2,3134,699,0.04372
run_00154,2026-08-12 17:44,Invoice Parser,clank-mini,Schedule,succeeded,,9.1,3,2509,613,0.03984
run_00155,2026-08-12 13:23,Invoice Parser,clank-mini,API,succeeded,,24.1,1,3482,834,0.04727
run_00156,2026-08-12 10:43,Invoice Parser,clank-mini,Slack,succeeded,,18.3,3,2924,639,0.04192
run_00157,2026-08-12 12:10,Invoice Parser,clank-mini,Schedule,succeeded,,12.2,3,2984,602,0.04157
run_00158,2026-08-12 16:36,Invoice Parser,clank-mini,Schedule,succeeded,,27.9,2,4445,570,0.0469
run_00159,2026-08-12 07:34,Invoice Parser,clank-mini,Webhook,succeeded,,15.5,2,2894,566,0.04063
run_00160,2026-08-12 10:24,Code Reviewer,clank-pro,Schedule,succeeded,,103.7,9,15457,2351,0.76583
run_00161,2026-08-12 10:00,Code Reviewer,clank-ultra,Webhook,succeeded,,127.4,5,16852,2719,3.34736
run_00162,2026-08-12 10:46,Code Reviewer,clank-ultra,API,succeeded,,381.9,13,63345,10346,12.58748
run_00163,2026-08-12 19:02,Code Reviewer,clank-pro,Schedule,escalated,,85.8,7,11359,3394,0.76805
run_00164,2026-08-12 11:36,Code Reviewer,clank-pro,Schedule,succeeded,,79.5,6,11223,1470,0.53309
run_00165,2026-08-12 09:31,Lead Enricher,clank-mini,API,succeeded,,27.2,4,5375,1040,0.05814
run_00166,2026-08-12 11:54,Lead Enricher,clank-mini,Slack,succeeded,,32.0,3,5006,976,0.05564
run_00167,2026-08-12 15:41,Lead Enricher,clank-mini,API,succeeded,,38.8,6,6030,1133,0.06225
run_00168,2026-08-12 11:48,Lead Enricher,clank-pro,Schedule,succeeded,,25.1,4,5158,1312,0.33218
run_00169,2026-08-12 09:25,Lead Enricher,clank-pro,Schedule,succeeded,,27.1,2,3919,655,0.21617
run_00170,2026-08-12 11:46,Lead Enricher,clank-mini,Slack,failed,Tool timeout,28.3,6,5391,789,0.05419
run_00171,2026-08-12 15:14,Lead Enricher,clank-mini,Slack,succeeded,,48.2,6,7606,2038,0.08303
run_00172,2026-08-12 12:22,Lead Enricher,clank-mini,Slack,succeeded,,66.6,6,11393,1488,0.08938
run_00173,2026-08-12 02:52,Lead Enricher,clank-pro,Slack,succeeded,,46.6,5,7838,1467,0.43118
run_00174,2026-08-12 15:34,On-call Summarizer,clank-ultra,API,succeeded,,124.0,9,22657,3155,4.25324
run_00175,2026-08-12 04:15,On-call Summarizer,clank-ultra,Schedule,succeeded,,46.0,7,8763,2613,2.3258
run_00176,2026-08-12 12:41,On-call Summarizer,clank-ultra,Schedule,succeeded,,55.1,5,9674,1305,1.80728
run_00177,2026-08-12 15:36,On-call Summarizer,clank-ultra,Webhook,succeeded,,94.4,13,17438,2943,3.5252
run_00178,2026-08-13 17:02,Support Triage,clank-mini,Slack,succeeded,,10.7,2,2385,639,0.03976
run_00179,2026-08-13 16:53,Support Triage,clank-pro,Schedule,succeeded,,9.9,4,3042,742,0.2003
run_00180,2026-08-13 23:22,Support Triage,clank-mini,API,succeeded,,8.2,4,2785,349,0.03672
run_00181,2026-08-13 14:31,Support Triage,clank-mini,Schedule,succeeded,,7.8,2,1663,273,0.03102
run_00182,2026-08-13 08:09,Support Triage,clank-mini,Slack,succeeded,,12.3,4,2781,806,0.04402
run_00183,2026-08-13 16:27,Support Triage,clank-mini,Schedule,succeeded,,7.9,3,1967,448,0.03504
run_00184,2026-08-13 17:49,Support Triage,clank-mini,Webhook,succeeded,,9.3,3,2125,370,0.03442
run_00185,2026-08-13 11:19,Support Triage,clank-mini,API,succeeded,,8.3,4,2693,418,0.03746
run_00186,2026-08-13 09:00,Support Triage,clank-pro,API,succeeded,,19.9,2,3784,1118,0.26768
run_00187,2026-08-13 18:38,Support Triage,clank-pro,API,succeeded,,8.3,2,1683,316,0.10841
run_00188,2026-08-13 15:23,Support Triage,clank-mini,Schedule,succeeded,,15.6,1,2313,572,0.0384
run_00189,2026-08-13 13:53,Support Triage,clank-mini,Slack,succeeded,,12.2,2,2456,611,0.0396
run_00190,2026-08-13 09:28,Support Triage,clank-pro,Schedule,succeeded,,14.9,3,3370,622,0.19574
run_00191,2026-08-13 08:06,Support Triage,clank-mini,Schedule,succeeded,,15.8,5,3860,986,0.05122
run_00192,2026-08-13 15:06,Support Triage,clank-mini,API,succeeded,,14.5,2,2501,648,0.04037
run_00193,2026-08-13 09:22,Support Triage,clank-pro,Schedule,succeeded,,36.1,2,6034,1290,0.35582
run_00194,2026-08-13 12:28,Support Triage,clank-mini,Schedule,succeeded,,8.0,4,2839,719,0.04286
run_00195,2026-08-13 13:21,Support Triage,clank-mini,Webhook,succeeded,,12.8,2,1978,456,0.03521
run_00196,2026-08-13 13:24,Support Triage,clank-mini,API,succeeded,,30.3,1,4262,792,0.04972
run_00197,2026-08-13 09:16,Support Triage,clank-mini,Schedule,escalated,,11.1,3,2468,500,0.03787
run_00198,2026-08-13 18:43,Invoice Parser,clank-mini,API,succeeded,,9.5,2,1989,388,0.03416
run_00199,2026-08-13 13:34,Invoice Parser,clank-mini,Schedule,failed,Rate limited,20.8,2,3131,630,0.0426
run_00200,2026-08-13 11:00,Invoice Parser,clank-mini,API,succeeded,,24.1,1,3765,753,0.04711
run_00201,2026-08-13 12:50,Invoice Parser,clank-mini,API,succeeded,,21.7,1,3523,771,0.04643
run_00202,2026-08-13 03:17,Invoice Parser,clank-mini,Slack,succeeded,,30.5,2,5655,783,0.05515
run_00203,2026-08-13 08:28,Invoice Parser,clank-mini,Slack,succeeded,,28.5,5,6034,1473,0.0677
run_00204,2026-08-13 16:13,Invoice Parser,clank-mini,Slack,succeeded,,22.3,2,3074,911,0.04687
run_00205,2026-08-13 18:57,Invoice Parser,clank-mini,API,escalated,,10.8,2,2391,615,0.0394
run_00206,2026-08-13 17:40,Invoice Parser,clank-mini,Schedule,succeeded,,21.4,3,4521,843,0.05157
run_00207,2026-08-13 11:54,Invoice Parser,clank-mini,Slack,succeeded,,25.6,1,2816,609,0.04101
run_00208,2026-08-13 16:20,Invoice Parser,clank-mini,API,succeeded,,23.2,1,3045,740,0.04402
run_00209,2026-08-13 03:40,Invoice Parser,clank-mini,Schedule,succeeded,,34.4,4,5185,1265,0.06098
run_00210,2026-08-13 15:10,Invoice Parser,clank-mini,Slack,succeeded,,18.7,1,2148,500,0.03659
run_00211,2026-08-13 08:27,Invoice Parser,clank-mini,Slack,succeeded,,20.6,2,2665,653,0.04111
run_00212,2026-08-13 18:44,Invoice Parser,clank-mini,API,succeeded,,25.6,1,2951,765,0.04404
run_00213,2026-08-13 08:04,Code Reviewer,clank-pro,API,succeeded,,80.4,4,12374,1822,0.60986
run_00214,2026-08-13 16:06,Code Reviewer,clank-pro,API,succeeded,,77.7,6,13697,2255,0.70151
run_00215,2026-08-13 08:38,Code Reviewer,clank-pro,Webhook,succeeded,,53.3,6,7898,1505,0.43754
run_00216,2026-08-13 09:31,Code Reviewer,clank-ultra,API,escalated,,52.7,7,8709,1651,1.85756
run_00217,2026-08-13 13:48,Code Reviewer,clank-pro,Webhook,succeeded,,101.7,10,14691,4203,0.96509
run_00218,2026-08-13 12:32,Code Reviewer,clank-ultra,API,succeeded,,120.1,7,14895,2012,2.77316
run_00219,2026-08-13 06:51,Code Reviewer,clank-pro,API,succeeded,,169.7,6,22873,6670,1.50659
run_00220,2026-08-13 09:05,Code Reviewer,clank-ultra,API,succeeded,,110.2,8,13201,2764,2.93084
run_00221,2026-08-13 15:10,Code Reviewer,clank-pro,Slack,escalated,,116.5,9,17584,3768,0.99968
run_00222,2026-08-13 09:31,Code Reviewer,clank-pro,API,succeeded,,103.1,7,16219,4056,0.99329
run_00223,2026-08-13 12:02,Code Reviewer,clank-ultra,API,succeeded,,25.5,10,6355,1681,1.58948
run_00224,2026-08-13 15:58,Lead Enricher,clank-pro,API,succeeded,,27.1,6,6549,997,0.33611
run_00225,2026-08-13 11:29,Lead Enricher,clank-pro,Slack,succeeded,,18.3,5,4123,711,0.22901
run_00226,2026-08-13 08:31,Lead Enricher,clank-pro,Slack,succeeded,,39.4,6,6357,1830,0.43031
run_00227,2026-08-13 17:22,Lead Enricher,clank-pro,Schedule,succeeded,,19.5,3,3370,529,0.18458
run_00228,2026-08-13 18:31,Lead Enricher,clank-pro,Webhook,succeeded,,27.6,5,5285,1486,0.35687
run_00229,2026-08-13 15:37,Lead Enricher,clank-mini,API,succeeded,,15.4,1,2046,342,0.03366
run_00230,2026-08-13 17:44,Lead Enricher,clank-pro,API,succeeded,,31.2,6,6887,1387,0.39305
run_00231,2026-08-13 12:05,Lead Enricher,clank-mini,Schedule,succeeded,,38.7,6,6127,1009,0.06065
run_00232,2026-08-13 09:43,Lead Enricher,clank-mini,Slack,succeeded,,36.3,6,7688,1091,0.06821
run_00233,2026-08-13 07:08,Lead Enricher,clank-mini,API,succeeded,,73.8,5,9032,2705,0.09941
run_00234,2026-08-13 15:54,Lead Enricher,clank-pro,API,succeeded,,31.8,4,5743,1539,0.37697
run_00235,2026-08-13 09:22,Lead Enricher,clank-mini,API,succeeded,,37.3,6,6525,1267,0.06637
run_00236,2026-08-13 12:26,Lead Enricher,clank-mini,Slack,succeeded,,55.0,6,10405,3102,0.11125
run_00237,2026-08-13 11:22,Lead Enricher,clank-pro,Schedule,succeeded,,23.0,5,4418,1243,0.3017
run_00238,2026-08-13 14:49,On-call Summarizer,clank-ultra,API,succeeded,,48.0,4,8393,2161,2.06444
run_00239,2026-08-13 14:22,On-call Summarizer,clank-ultra,Webhook,succeeded,,46.0,9,9647,2379,2.31956
run_00240,2026-08-13 08:36,On-call Summarizer,clank-ultra,Slack,succeeded,,137.0,9,16472,3761,3.80192
run_00241,2026-08-13 15:00,On-call Summarizer,clank-ultra,Schedule,succeeded,,53.4,10,11804,3261,3.00176
run_00242,2026-08-14 11:49,Support Triage,clank-mini,Schedule,succeeded,,18.9,3,4199,1057,0.05371
run_00243,2026-08-14 17:41,Support Triage,clank-mini,Slack,succeeded,,30.5,2,5284,994,0.05704
run_00244,2026-08-14 18:08,Support Triage,clank-mini,API,succeeded,,20.4,3,3297,584,0.04253
run_00245,2026-08-14 08:40,Support Triage,clank-mini,Webhook,succeeded,,18.0,4,4328,588,0.04672
run_00246,2026-08-14 15:28,Support Triage,clank-mini,API,succeeded,,8.1,3,2183,427,0.03556
run_00247,2026-08-14 14:31,Support Triage,clank-pro,API,succeeded,,18.0,3,3822,482,0.1925
run_00248,2026-08-14 08:06,Support Triage,clank-mini,API,succeeded,,20.8,4,4778,653,0.04956
run_00249,2026-08-14 14:41,Support Triage,clank-mini,Slack,succeeded,,9.5,2,1782,437,0.03412
run_00250,2026-08-14 14:06,Support Triage,clank-mini,Schedule,succeeded,,9.2,2,1905,330,0.0329
run_00251,2026-08-14 15:10,Support Triage,clank-mini,Webhook,succeeded,,11.3,3,2428,572,0.03886
